complex_id,exhaustiveness,box_size,num_modes_per_run,seed,input_index,num_inputs,inputs_complete,elapsed_seconds,timing_found,log_path
A71EV2A-x1445a,32,25,40,1449838082,1,1,True,17.019,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445a_1.log
A71EV2A-x1445a,32,25,40,1832854922,1,1,True,14.854,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445a_1.log
A71EV2A-x1445a,32,25,40,1880307061,1,1,True,17.625,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445a_1.log
A71EV2A-x1445a,32,25,40,2012026466,1,1,True,17.439,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445a_1.log
A71EV2A-x1445b,8,25,8,1370180479,1,5,True,9.192,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,8,25,8,1370180479,2,5,True,9.275,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_2.log
A71EV2A-x1445b,8,25,8,1370180479,3,5,True,8.694,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_3.log
A71EV2A-x1445b,8,25,8,1370180479,4,5,True,8.81,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_4.log
A71EV2A-x1445b,8,25,8,1370180479,5,5,True,9.479,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_5.log
A71EV2A-x1445b,8,25,40,1370180479,1,1,True,10.032,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,8,25,40,1449838082,1,1,True,7.919,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445b_1.log
A71EV2A-x1445b,8,25,40,1832854922,1,1,True,7.543,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445b_1.log
A71EV2A-x1445b,8,25,40,1880307061,1,1,True,7.705,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445b_1.log
A71EV2A-x1445b,8,25,40,2012026466,1,1,True,7.545,True,A71EV2A-x1445b/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,8,1370180479,1,5,True,13.646,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,8,1370180479,2,5,True,13.802,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_2.log
A71EV2A-x1445b,16,25,8,1370180479,3,5,True,13.526,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_3.log
A71EV2A-x1445b,16,25,8,1370180479,4,5,True,13.67,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_4.log
A71EV2A-x1445b,16,25,8,1370180479,5,5,True,13.729,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_5.log
A71EV2A-x1445b,16,25,40,1370180479,1,1,True,11.128,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,40,1449838082,1,1,True,11.866,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,40,1832854922,1,1,True,10.981,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,40,1880307061,1,1,True,11.389,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445b_1.log
A71EV2A-x1445b,16,25,40,2012026466,1,1,True,11.294,True,A71EV2A-x1445b/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,8,1370180479,1,5,True,15.142,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,8,1370180479,2,5,True,15.129,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_2.log
A71EV2A-x1445b,32,25,8,1370180479,3,5,True,15.378,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_3.log
A71EV2A-x1445b,32,25,8,1370180479,4,5,True,15.218,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_4.log
A71EV2A-x1445b,32,25,8,1370180479,5,5,True,15.546,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445b_5.log
A71EV2A-x1445b,32,25,40,1370180479,1,1,True,16.623,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,40,1449838082,1,1,True,17.038,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,40,1832854922,1,1,True,15.048,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,40,1880307061,1,1,True,17.857,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445b_1.log
A71EV2A-x1445b,32,25,40,2012026466,1,1,True,17.049,True,A71EV2A-x1445b/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445b_1.log
A71EV2A-x2290a,8,25,8,1370180479,1,5,True,7.392,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,8,25,8,1370180479,2,5,True,7.724,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_2.log
A71EV2A-x2290a,8,25,8,1370180479,3,5,True,7.702,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_3.log
A71EV2A-x2290a,8,25,8,1370180479,4,5,True,7.257,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_4.log
A71EV2A-x2290a,8,25,8,1370180479,5,5,True,6.996,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_5.log
A71EV2A-x2290a,8,25,40,1370180479,1,1,True,7.828,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,8,25,40,1449838082,1,1,True,6.161,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x2290a_1.log
A71EV2A-x2290a,8,25,40,1832854922,1,1,True,6.367,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x2290a_1.log
A71EV2A-x2290a,8,25,40,1880307061,1,1,True,6.134,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x2290a_1.log
A71EV2A-x2290a,8,25,40,2012026466,1,1,True,6.273,True,A71EV2A-x2290a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,8,1370180479,1,5,True,9.401,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,8,1370180479,2,5,True,9.335,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_2.log
A71EV2A-x2290a,16,25,8,1370180479,3,5,True,9.362,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_3.log
A71EV2A-x2290a,16,25,8,1370180479,4,5,True,9.39,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_4.log
A71EV2A-x2290a,16,25,8,1370180479,5,5,True,9.347,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_5.log
A71EV2A-x2290a,16,25,40,1370180479,1,1,True,7.677,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,40,1449838082,1,1,True,8.162,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,40,1832854922,1,1,True,7.56,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,40,1880307061,1,1,True,7.841,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x2290a_1.log
A71EV2A-x2290a,16,25,40,2012026466,1,1,True,7.916,True,A71EV2A-x2290a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,8,1370180479,1,5,True,9.036,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,8,1370180479,2,5,True,8.823,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_2.log
A71EV2A-x2290a,32,25,8,1370180479,3,5,True,8.873,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_3.log
A71EV2A-x2290a,32,25,8,1370180479,4,5,True,8.6,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_4.log
A71EV2A-x2290a,32,25,8,1370180479,5,5,True,8.648,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2290a_5.log
A71EV2A-x2290a,32,25,40,1370180479,1,1,True,12.476,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,40,1449838082,1,1,True,10.027,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,40,1832854922,1,1,True,8.721,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,40,1880307061,1,1,True,10.528,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x2290a_1.log
A71EV2A-x2290a,32,25,40,2012026466,1,1,True,9.557,True,A71EV2A-x2290a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x2290a_1.log
A71EV2A-x2293a,8,25,8,1370180479,1,5,True,9.982,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_1.log
A71EV2A-x2293a,8,25,8,1370180479,2,5,True,11.145,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_2.log
A71EV2A-x2293a,8,25,8,1370180479,3,5,True,9.892,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_3.log
A71EV2A-x2293a,8,25,8,1370180479,4,5,True,9.765,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_4.log
A71EV2A-x2293a,8,25,8,1370180479,5,5,True,9.876,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_5.log
A71EV2A-x2293a,8,25,40,1370180479,1,1,True,10.867,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x2293a_1.log
A71EV2A-x2293a,8,25,40,1449838082,1,1,True,8.515,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x2293a_1.log
A71EV2A-x2293a,8,25,40,1832854922,1,1,True,9.155,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x2293a_1.log
A71EV2A-x2293a,8,25,40,1880307061,1,1,True,8.464,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x2293a_1.log
A71EV2A-x2293a,8,25,40,2012026466,1,1,True,8.507,True,A71EV2A-x2293a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,8,1370180479,1,5,True,15.881,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,8,1370180479,2,5,True,16.398,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_2.log
A71EV2A-x2293a,16,25,8,1370180479,3,5,True,16.23,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_3.log
A71EV2A-x2293a,16,25,8,1370180479,4,5,True,16.192,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_4.log
A71EV2A-x2293a,16,25,8,1370180479,5,5,True,16.05,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_5.log
A71EV2A-x2293a,16,25,40,1370180479,1,1,True,13.016,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,40,1449838082,1,1,True,13.167,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,40,1832854922,1,1,True,12.931,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,40,1880307061,1,1,True,13.766,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x2293a_1.log
A71EV2A-x2293a,16,25,40,2012026466,1,1,True,13.622,True,A71EV2A-x2293a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x2293a_1.log
A71EV2A-x2293a,32,25,8,1370180479,1,5,True,18.319,True,A71EV2A-x2293a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_1.log
A71EV2A-x2293a,32,25,8,1370180479,2,5,True,18.721,True,A71EV2A-x2293a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x2293a_2.log
